,Account,Post,Tag,Likes,Comments
0,ilkomunj18,"kemarin ULTRAMILK, nanti??
Ditunggu Milk""annya taun depan ",[],30,"['untung aku gakepotong', 'mantab']"
1,ilkomunj18,BAPER se-Ilkom,[],16,['jd baper aq']
2,ilkomunj18,"Coba tebak, mereka lagi mimpiin apa hayo ?",[],11,"['Aib semua ye', 'Amat lagi amat lagi']"
3,ilkomunj18,Saudara kembar nih (2),[],16,[]
4,ilkomunj18,Jangan lupa senyum hari ini :),[],13,[':)']
5,ilkomunj18,Saudara kembar nih,[],15,"['Body shaming nih gabagus', 'Astagfirullah', 'Adminnya parah gabener nih', 'KWJWKWK PARS', 'Wkwk ini yg gue tunggu']"
6,ilkomunj18,Terkantuk,[],9,[]
7,ilkomunj18,Kisah cintanya falend ama ijal di masa matdis,[],10,"['Gua lagi cerita sama falend malah di kira pacaran', 'Yee si anjj', 'UWAUUU WKWKWKWK']"
8,ilkomunj18,Ngerujak dulu kuy,[],12,[]
9,ilkomunj18,MILK kita ,[],9,[]
10,ilkomunj18,"[29/08/18]
Pengambilan almet + foto pertama bersama Academics",[],8,[]
11,ilkomunj18,,[],0,[]
12,ilkomunj18,,[],0,[]
13,ilkomunj18,,[],0,[]
14,m_adin.n,"Himbauan untuk kita semua!!! Sebagai generasi muda yang baik, kita harus mewaspadai hal"" negatif yang tersebar di internet. Awasi juga adik"" kita yang menggunakan internet, kita agar tidak terjerumus kedalam hal"" negatif yang tersebar di internet.

#ILKOM2019
#PIXEL2019
#PKKMBIlmuKomputer2019","['ilkom2019', 'pixel2019', 'pkkmbilmukomputer2019']",40,[]
15,m_adin.n,"Terenyuh meratapi kondisi sampah plastik yang makin memprihatinkan, termenung dalam sikap ceroboh yang diakibatkan, tergeraklah diri kami untuk ikut menyuarakan dan menyadarkan sesama terutama kawan sebaya. Hidup bukan hanya tentang diri sendiri tapi menyangkut teman lain yg tak jarang kau lupakan.
.
.
.
#PKKMBFMIPAUNJ2019
#PengukirPeradaban
#Representatif
#Religius
#Prestatif
#Empatif
#Disiplin
#Tangguh
#Aktif","['pkkmbfmipaunj2019', 'pengukirperadaban', 'representatif', 'religius', 'prestatif', 'empatif', 'disiplin', 'tangguh', 'aktif']",57,[]
16,m_adin.n,"[5 Fakta FMIPA UNJ]
Yoo... gais, saya Muhammad Adin Nugroho, kaki ini saya akan membagikan 5 fakta FMIPA UNJ
1. Terletak di Kampus A UNJ, tepatnya di gedung KH. Hasyim Asy'arie.
2. Mayoritas Mahasiswa FMIPA adalah perempuan, bahkan perbandingan mahasiswa dan mahasiswinya mencapai 1:3.
3. Di FMIPA terdapat 4 jurusan yaitu Kimia, Fisika, Biologi, dan Matematika. Dan 10 Prodi antara lain Kimia, Pend. Kimia, Fisika, Pend. Fisika, Biologi, Pend. Biologi, Matematika, Pend. Matematika, Statistika, dan Ilmu Komputer.
4. Gerakan 18.30. Adalah gerakan yng mengharuskan warga FMIPA untuk meninggalkan kampus sebelum jam 18.30.
5. Identik dengan warna ungu. Warna ungu seakan - akan sudah menjadi ciri khas dan identitas bagi mahasiswa FMIPA
.
.
.
#PKKMBFMIPAUNJ2019 #PengukirPeradaban
#REPRESENTATIF
#Religius
#Prestatif
#Empati
#Disiplin
#Tangguh
#Aktif","['pkkmbfmipaunj2019', 'pengukirperadaban', 'representatif', 'religius', 'prestatif', 'empati', 'disiplin', 'tangguh', 'aktif']",58,"['Ntaps broo', 'din jurusan apaluu']"
